This textfile must keep the line/row format.
Although the data in the table can be changed, but
the number of character for each row be the same.

2x16 characters display.
x-below will represent the data from table below.

 P O W E R :   x x x x x x d B m
 x x x x x x W   x x x x x x V

"$" character will be equal to space.
AD  	Sign	PdB	W		V	
-----------------------------------------------------
4095	+	$9,98	9,954	m	705,5	m
4094	+	$9,95	9,886	m	703,1	m
4093	+	$9,93	9,840	m	701,4	m
4092	+	$9,90	9,772	m	699,0	m
4091	+	$9,88	9,727	m	697,4	m
4090	+	$9,85	9,661	m	695,0	m
4089	+	$9,83	9,616	m	693,4	m
4088	+	$9,80	9,550	m	691,0	m
4087	+	$9,78	9,506	m	689,4	m
4086	+	$9,76	9,462	m	687,8	m
4085	+	$9,73	9,397	m	685,5	m
4084	+	$9,71	9,354	m	683,9	m
4083	+	$9,68	9,290	m	681,5	m
4082	+	$9,66	9,247	m	680,0	m
4081	+	$9,63	9,183	m	677,6	m
4080	+	$9,61	9,141	m	676,1	m
4079	+	$9,58	9,078	m	673,7	m
4078	+	$9,56	9,036	m	672,2	m
4077	+	$9,54	8,995	m	670,6	m
4076	+	$9,51	8,933	m	668,3	m
4075	+	$9,49	8,892	m	666,8	m
4074	+	$9,46	8,831	m	664,5	m
4073	+	$9,44	8,790	m	662,9	m
4072	+	$9,41	8,730	m	660,7	m
4071	+	$9,39	8,690	m	659,2	m
4070	+	$9,37	8,650	m	657,6	m
4069	+	$9,34	8,590	m	655,4	m
4068	+	$9,32	8,551	m	653,9	m
4067	+	$9,29	8,492	m	651,6	m
4066	+	$9,27	8,453	m	650,1	m
4065	+	$9,24	8,395	m	647,9	m
4064	+	$9,22	8,356	m	646,4	m
4063	+	$9,19	8,299	m	644,2	m
4062	+	$9,17	8,260	m	642,7	m
4061	+	$9,15	8,222	m	641,2	m
4060	+	$9,12	8,166	m	639,0	m
4059	+	$9,10	8,128	m	637,5	m
4058	+	$9,07	8,072	m	635,3	m
4057	+	$9,05	8,035	m	633,8	m
4056	+	$9,02	7,980	m	631,7	m
4055	+	$9,00	7,943	m	630,2	m
4054	+	$8,97	7,889	m	628,1	m
4053	+	$8,95	7,852	m	626,6	m
4052	+	$8,93	7,816	m	625,1	m
4051	+	$8,90	7,762	m	623,0	m
4050	+	$8,88	7,727	m	621,6	m
4049	+	$8,85	7,674	m	619,4	m
4048	+	$8,83	7,638	m	618,0	m
4047	+	$8,80	7,586	m	615,9	m
4046	+	$8,78	7,551	m	614,5	m
4045	+	$8,75	7,499	m	612,3	m
4044	+	$8,73	7,464	m	610,9	m
4043	+	$8,71	7,430	m	609,5	m
4042	+	$8,68	7,379	m	607,4	m
4041	+	$8,66	7,345	m	606,0	m
4040	+	$8,63	7,295	m	603,9	m
4039	+	$8,61	7,261	m	602,5	m
4038	+	$8,58	7,211	m	600,5	m
4037	+	$8,56	7,178	m	599,1	m
4036	+	$8,54	7,145	m	597,7	m
4035	+	$8,51	7,096	m	595,7	m
4034	+	$8,49	7,063	m	594,3	m
4033	+	$8,46	7,015	m	592,2	m
4032	+	$8,44	6,982	m	590,8	m
4031	+	$8,41	6,934	m	588,8	m
4030	+	$8,39	6,902	m	587,5	m
4029	+	$8,36	6,855	m	585,4	m
4028	+	$8,34	6,823	m	584,1	m
4027	+	$8,32	6,792	m	582,8	m
4026	+	$8,29	6,745	m	580,7	m
4025	+	$8,27	6,714	m	579,4	m
4024	+	$8,24	6,668	m	577,4	m
4023	+	$8,22	6,637	m	576,1	m
4022	+	$8,19	6,592	m	574,1	m
4021	+	$8,17	6,561	m	572,8	m
4020	+	$8,14	6,516	m	570,8	m
4019	+	$8,12	6,486	m	569,5	m
4018	+	$8,10	6,457	m	568,2	m
4017	+	$8,07	6,412	m	566,2	m
4016	+	$8,05	6,383	m	564,9	m
4015	+	$8,02	6,339	m	563,0	m
4014	+	$8,00	6,310	m	561,7	m
4013	+	$7,97	6,266	m	559,7	m
4012	+	$7,95	6,237	m	558,4	m
4011	+	$7,92	6,194	m	556,5	m
4010	+	$7,90	6,166	m	555,2	m
4009	+	$7,88	6,138	m	554,0	m
4008	+	$7,85	6,095	m	552,0	m
4007	+	$7,83	6,067	m	550,8	m
4006	+	$7,80	6,026	m	548,9	m
4005	+	$7,78	5,998	m	547,6	m
4004	+	$7,75	5,957	m	545,8	m
4003	+	$7,73	5,929	m	544,5	m
4002	+	$7,71	5,902	m	543,2	m
4001	+	$7,68	5,861	m	541,3	m
4000	+	$7,66	5,834	m	540,1	m
3999	+	$7,63	5,794	m	538,2	m
3998	+	$7,61	5,768	m	537,0	m
3997	+	$7,58	5,728	m	535,2	m
3996	+	$7,56	5,702	m	533,9	m
3995	+	$7,53	5,662	m	532,1	m
3994	+	$7,51	5,636	m	530,8	m
3993	+	$7,49	5,610	m	529,6	m
3992	+	$7,46	5,572	m	527,8	m
3991	+	$7,44	5,546	m	526,6	m
3990	+	$7,41	5,508	m	524,8	m
