This textfile must keep the line/row format.
Although the data in the table can be changed, but
the number of character for each row be the same.

2x16 characters display.
x-below will represent the data from table below.

 P O W E R :   x x x x x x d B m
 x x x x x x W   x x x x x x V

"$" character will be equal to space.
AD  	Sign	PdB	W		V	
-----------------------------------------------------
4095	+	29,98	995,4	m	7,055	$
4094	+	29,95	988,6	m	7,031	$
4093	+	29,93	984,0	m	7,014	$
4092	+	29,90	977,2	m	6,990	$
4091	+	29,88	972,7	m	6,974	$
4090	+	29,85	966,1	m	6,950	$
4089	+	29,83	961,6	m	6,934	$
4088	+	29,80	955,0	m	6,910	$
4087	+	29,78	950,6	m	6,894	$
4086	+	29,76	946,2	m	6,878	$
4085	+	29,73	939,7	m	6,855	$
4084	+	29,71	935,4	m	6,839	$
4083	+	29,68	929,0	m	6,815	$
4082	+	29,66	924,7	m	6,800	$
4081	+	29,63	918,3	m	6,776	$
4080	+	29,61	914,1	m	6,761	$
4079	+	29,58	907,8	m	6,737	$
4078	+	29,56	903,6	m	6,722	$
4077	+	29,54	899,5	m	6,706	$
4076	+	29,51	893,3	m	6,683	$
4075	+	29,49	889,2	m	6,668	$
4074	+	29,46	883,1	m	6,645	$
4073	+	29,44	879,0	m	6,629	$
4072	+	29,41	873,0	m	6,607	$
4071	+	29,39	869,0	m	6,592	$
4070	+	29,37	865,0	m	6,576	$
4069	+	29,34	859,0	m	6,554	$
4068	+	29,32	855,1	m	6,539	$
4067	+	29,29	849,2	m	6,516	$
4066	+	29,27	845,3	m	6,501	$
4065	+	29,24	839,5	m	6,479	$
4064	+	29,22	835,6	m	6,464	$
4063	+	29,19	829,9	m	6,442	$
4062	+	29,17	826,0	m	6,427	$
4061	+	29,15	822,2	m	6,412	$
4060	+	29,12	816,6	m	6,390	$
4059	+	29,10	812,8	m	6,375	$
4058	+	29,07	807,2	m	6,353	$
4057	+	29,05	803,5	m	6,338	$
4056	+	29,02	798,0	m	6,317	$
4055	+	29,00	794,3	m	6,302	$
4054	+	28,97	788,9	m	6,281	$
4053	+	28,95	785,2	m	6,266	$
4052	+	28,93	781,6	m	6,251	$
4051	+	28,90	776,2	m	6,230	$
4050	+	28,88	772,7	m	6,216	$
4049	+	28,85	767,4	m	6,194	$
4048	+	28,83	763,8	m	6,180	$
4047	+	28,80	758,6	m	6,159	$
4046	+	28,78	755,1	m	6,145	$
4045	+	28,75	749,9	m	6,123	$
4044	+	28,73	746,4	m	6,109	$
4043	+	28,71	743,0	m	6,095	$
4042	+	28,68	737,9	m	6,074	$
4041	+	28,66	734,5	m	6,060	$
4040	+	28,63	729,5	m	6,039	$
4039	+	28,61	726,1	m	6,025	$
4038	+	28,58	721,1	m	6,005	$
4037	+	28,56	717,8	m	5,991	$
4036	+	28,54	714,5	m	5,977	$
4035	+	28,51	709,6	m	5,957	$
4034	+	28,49	706,3	m	5,943	$
4033	+	28,46	701,5	m	5,922	$
4032	+	28,44	698,2	m	5,908	$
4031	+	28,41	693,4	m	5,888	$
4030	+	28,39	690,2	m	5,875	$
4029	+	28,36	685,5	m	5,854	$
4028	+	28,34	682,3	m	5,841	$
4027	+	28,32	679,2	m	5,828	$
4026	+	28,29	674,5	m	5,807	$
4025	+	28,27	671,4	m	5,794	$
4024	+	28,24	666,8	m	5,774	$
4023	+	28,22	663,7	m	5,761	$
4022	+	28,19	659,2	m	5,741	$
4021	+	28,17	656,1	m	5,728	$
4020	+	28,14	651,6	m	5,708	$
4019	+	28,12	648,6	m	5,695	$
4018	+	28,10	645,7	m	5,682	$
4017	+	28,07	641,2	m	5,662	$
4016	+	28,05	638,3	m	5,649	$
4015	+	28,02	633,9	m	5,630	$
4014	+	28,00	631,0	m	5,617	$
4013	+	27,97	626,6	m	5,597	$
4012	+	27,95	623,7	m	5,584	$
4011	+	27,92	619,4	m	5,565	$
4010	+	27,90	616,6	m	5,552	$
4009	+	27,88	613,8	m	5,540	$
4008	+	27,85	609,5	m	5,520	$
4007	+	27,83	606,7	m	5,508	$
4006	+	27,80	602,6	m	5,489	$
4005	+	27,78	599,8	m	5,476	$
4004	+	27,75	595,7	m	5,458	$
4003	+	27,73	592,9	m	5,445	$
4002	+	27,71	590,2	m	5,432	$
4001	+	27,68	586,1	m	5,413	$
4000	+	27,66	583,4	m	5,401	$
3999	+	27,63	579,4	m	5,382	$
3998	+	27,61	576,8	m	5,370	$
